PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
48,1,GOOD,SOLTERO,22800.0,56000.0,0,1
11,1,GOOD,SOLTERO,6431.466001,198456.6652,0,1
12,1,GOOD,SOLTERO,37446.66362,83835.81408,0,1
14,1,GOOD,SOLTERO,14296.48858,247805.8021,0,1
12,1,GOOD,SOLTERO,11178.10854,111781.0854,0,1
36,5,GOOD,SOLTERO,85271.43467,77341.48494,0,1
16,2,GOOD,CASADO,34184.59377,54405.189020000005,0,1
26,2,GOOD,DIVORCIADO,167420.1312,220987.5016,0,1
24,1,GOOD,SOLTERO,327337.8873,395344.3735,0,1
24,1,GOOD,CASADO,92195.98567,74251.80054,0,1
48,1,GOOD,SOLTERO,19753.93482,66716.94672,0,1
18,3,GOOD,SOLTERO,39424.17029,67180.20049,0,1
12,1,GOOD,CASADO,35802.39478,70920.45473,0,1
6,2,GOOD,CASADO,88893.75738,161536.0129,0,1
32,2,GOOD,SOLTERO,29103.907000000003,122628.8216,0,1
24,2,GOOD,SOLTERO,49705.54903,80117.49679,0,1
24,1,GOOD,CASADO,79691.09968,253562.5899,0,1
36,1,GOOD,CASADO,52595.27278,109573.485,0,1
16,2,GOOD,SOLTERO,28290.69829,87048.30243,0,1
18,3,GOOD,SOLTERO,28215.17238,146097.98,0,1
21,2,GOOD,CASADO,36223.22713,56390.75358,0,1
18,4,GOOD,CASADO,111182.7252,89834.86917,0,1
24,2,GOOD,SOLTERO,61172.85634,130190.5265,0,1
48,3,GOOD,SOLTERO,122593.0259,144173.7509,0,1
12,2,GOOD,SOLTERO,19278.21257,83455.46568,0,1
27,2,GOOD,CASADO,36707.11746,136966.8562,0,1
48,1,GOOD,SOLTERO,34663.08024,117723.6688,0,1
10,9,GOOD,SOLTERO,45536.16909,217461.777,0,1
48,2,GOOD,SOLTERO,57957.98011,135235.2869,0,1
12,3,GOOD,SOLTERO,28782.78047,107286.3457,0,1
46,1,GOOD,CASADO,75500.0,80000.0,0,1
24,1,GOOD,CASADO,22532.97573,216984.2108,0,1
28,3,GOOD,SOLTERO,26552.76678,225101.31,0,1
24,1,GOOD,SOLTERO,24934.52706,69489.66558,0,1
24,3,GOOD,CASADO,156468.38,228133.2869,0,1
36,2,GOOD,SOLTERO,31282.98368,122593.0259,0,1
36,1,GOOD,CASADO,58585.73691,120175.8706,0,1
48,3,GOOD,SOLTERO,55101.0,120000.0,0,1
48,4,GOOD,CASADO,110995.7694,229502.5306,0,1
10,1,GOOD,SOLTERO,44925.12884,59169.68188,0,1
36,2,GOOD,CASADO,70243.4139,171557.863,0,1
13,1,GOOD,CASADO,35359.98176,55756.30547000001,0,1
12,1,GOOD,SOLTERO,16865.6086,93939.62637,0,1
15,2,GOOD,CASADO,24871.29151,111781.0854,0,1
48,3,GOOD,CASADO,73990.22118,103845.9245,0,1
9,10,GOOD,CASADO,30411.64638,88202.9623,0,1
30,7,GOOD,SOLTERO,85291.48592,137701.5184,0,1
12,1,GOOD,CASADO,151961.2028,259614.8112,0,1
40,2,GOOD,SOLTERO,107224.4668,317363.6026,0,1
48,1,GOOD,DIVORCIADO,8811.055247,46013.288510000006,0,1
12,1,GOOD,CASADO,19286.42093,248178.0561,0,1
24,3,GOOD,SOLTERO,18871.36493,119137.4049,0,1
48,2,GOOD,SOLTERO,19004.92514,84859.20062,0,1
14,5,GOOD,SOLTERO,57764.78684,159384.4453,0,1
36,6,GOOD,CASADO,18262.24749,328720.4549,0,1
14,2,GOOD,CASADO,93486.24979,81607.78352000001,0,1
10,1,GOOD,SOLTERO,43161.44995,199485.6931,0,1
12,7,GOOD,SOLTERO,131480.5244,310149.1447,0,1
45,8,GOOD,SOLTERO,127013.9313,289274.0003,0,1
36,4,GOOD,CASADO,90068.56474,396497.4861,0,1
6,5,GOOD,CASADO,8197.279598000001,115600.2725,0,1
36,6,GOOD,CASADO,97755.79311,289789.9005,0,1
48,1,GOOD,SOLTERO,66465.00592000001,122411.6753,0,1
36,7,GOOD,CASADO,87110.8441,164214.277,0,1
48,5,GOOD,CASADO,2756.342572,214994.7206,0,1
24,2,GOOD,CASADO,68118.18315,237409.2174,0,1
12,1,GOOD,CASADO,122869.0509,216567.7516,0,1
36,1,GOOD,CASADO,74148.12,232877.2613,0,1
48,2,GOOD,CASADO,40833.0,160000.0,0,1
24,3,GOOD,SOLTERO,17100.0,87600.0,0,1
16,6,GOOD,CASADO,128082.4937,80482.38151,0,1
24,2,GOOD,SOLTERO,52278.9278,133115.4647,0,1
12,7,GOOD,SOLTERO,124961.2624,121153.5785,0,1
48,1,GOOD,CASADO,162197.0547,159417.4681,0,1
18,5,GOOD,SOLTERO,69215.73399,156640.9822,0,1
48,6,GOOD,SOLTERO,65652.25882999999,138461.2326,0,1
13,3,GOOD,SOLTERO,127251.1487,459390.4287,0,1
18,1,GOOD,SOLTERO,14673.57011,106074.0008,0,1
20,1,GOOD,CASADO,44197.50032,81323.40059,0,1
18,1,GOOD,SOLTERO,51241.65593,240351.7412,0,1
20,1,GOOD,CASADO,23711.48609,67499.8509,0,1
12,3,GOOD,SOLTERO,125199.0,185000.0,0,1
36,3,GOOD,SOLTERO,125802.2888,239856.5039,0,1
12,7,GOOD,SOLTERO,56798.820510000005,101426.4652,0,1
48,2,GOOD,SOLTERO,130007.4913,79015.15372999999,0,1
24,1,GOOD,SOLTERO,17944.18513,127288.8009,0,1
48,1,GOOD,SOLTERO,43412.45903,48298.31676,0,1
10,4,GOOD,SOLTERO,42889.42401,326431.1341,0,1
24,2,GOOD,SOLTERO,72500.0,260000.0,0,1
30,2,GOOD,SOLTERO,77663.69334,86936.97016,0,1
24,2,GOOD,CASADO,27700.0,108000.0,0,1
48,3,GOOD,SOLTERO,8035.388897,155229.1037,0,1
36,7,GOOD,SOLTERO,46295.99955,121096.1759,0,1
15,1,GOOD,SOLTERO,23985.65039,127270.798,0,1
8,6,GOOD,CASADO,55765.31874,217620.7561,0,1
16,7,GOOD,CASADO,63202.425460000006,212148.0015,0,1
36,1,GOOD,CASADO,198023.0987,434684.8508,0,1
18,1,GOOD,SOLTERO,5512.685144,44101.48115,0,1
36,4,GOOD,CASADO,359099.4516,244751.5346,0,1
48,1,GOOD,CASADO,106199.0,107848.0,0,1
44,5,GOOD,SOLTERO,64584.512720000006,147154.5859,0,1
24,1,GOOD,SOLTERO,57216.12378,176816.8643,0,1
24,3,GOOD,SOLTERO,32842.85539,193193.267,0,1
12,1,GOOD,SOLTERO,21865.33201,80117.24705,0,1
48,1,GOOD,SOLTERO,154642.9779,229502.5306,0,1
48,3,GOOD,CASADO,222619.6829,336273.7938,0,1
18,7,GOOD,CASADO,46990.28082,155768.8867,0,1
36,1,GOOD,SOLTERO,45877.00533,137896.201,0,1
48,6,GOOD,CASADO,26370.88095,59213.73634,0,1
18,2,GOOD,DIVORCIADO,60502.57936,244751.5346,0,1
18,2,GOOD,CASADO,89849.34456,95876.79934,0,1
37,3,GOOD,CASADO,31817.6995,105732.663,0,1
19,2,GOOD,SOLTERO,34909.996289999995,140546.7383,0,1
24,4,GOOD,CASADO,99122.32084,121996.7026,0,1
48,2,GOOD,CASADO,75634.44832000001,116826.665,0,1
12,1,GOOD,SOLTERO,80791.70569,136012.9725,0,1
36,1,GOOD,CASADO,45558.14362,70529.34367,0,1
12,2,GOOD,SOLTERO,68908.5643,262771.3252,0,1
36,2,GOOD,CASADO,49508.722010000005,223061.275,0,1
36,5,GOOD,SOLTERO,152515.8799,130572.4536,0,1
18,6,GOOD,CASADO,269516.357,123753.0009,0,1
24,4,GOOD,CASADO,50824.3786,70102.59117,0,1
36,3,GOOD,CASADO,129439.4889,144894.9503,0,1
18,4,GOOD,CASADO,65200.0,101100.0,0,1
18,2,GOOD,CASADO,71400.0,260400.0,0,1
18,1,GOOD,SOLTERO,50234.12453,141453.4914,0,1
12,1,GOOD,SOLTERO,9430.232763,114250.8969,0,1
48,1,GOOD,SOLTERO,59587.20249,54246.05269,0,1
28,2,GOOD,SOLTERO,13706.08594,117480.7366,0,1
48,1,GOOD,SOLTERO,21746.1777,47416.47769,0,1
48,3,GOOD,SOLTERO,112977.3084,352442.2099,0,1
6,3,GOOD,SOLTERO,34184.59377,136012.9725,0,1
34,3,GOOD,SOLTERO,111356.2399,358324.5344,0,1
48,1,GOOD,CASADO,39648.92834,100075.4201,0,1
24,1,GOOD,SOLTERO,16049.53076,38083.63231,0,1
48,1,GOOD,SOLTERO,72378.25282000001,232877.2613,0,1
48,2,GOOD,SOLTERO,81605.58898,216345.676,0,1
24,3,GOOD,SOLTERO,32461.76278,152334.5292,0,1
12,1,GOOD,SOLTERO,9635.05507,95466.60069,0,1
21,1,GOOD,SOLTERO,29128.28475,105007.9231,0,1
14,2,GOOD,SOLTERO,78796.84876000001,128758.9473,0,1
12,1,GOOD,CASADO,40893.17818,186940.2431,0,1
12,1,GOOD,SOLTERO,55817.1844,216345.676,0,1
48,1,GOOD,SOLTERO,58340.70042000001,90520.01646,0,1
24,1,GOOD,SOLTERO,20682.64662,73124.83847999999,0,1
48,1,GOOD,SOLTERO,72940.077,191947.5711,0,1
44,1,GOOD,SOLTERO,46076.59419,69066.59296000001,0,1
24,1,GOOD,SOLTERO,25997.31018,85022.64965,0,1
36,1,GOOD,SOLTERO,106360.0646,180673.1305,0,1
14,1,GOOD,SOLTERO,68859.7055,0.0,0,1
18,1,GOOD,SOLTERO,9187.808573,121279.0732,0,1
12,2,GOOD,CASADO,113100.0,370000.0,0,1
10,2,GOOD,CASADO,119257.7553,274715.4763,0,1
24,1,GOOD,SOLTERO,35740.57535,121279.0732,0,1
24,1,GOOD,SOLTERO,28482.20658,310547.9298,0,1
