PLAZO;PRESTAMOS_ANTERIORES;SCORE_VERAZ;ESTADO_CIVIL;DEUDA_SIST_FIN;INGRESOS_PERSONALES;dias_mora
48;1;;CASADO;45523.42533;74251.80054;0
48;1;512.0;CASADO;49090.52669;67068.65126;0
48;1;794.0;CASADO;19347.91455;74341.74063;0
14;3;710.0;Soltero;276398.7793;277351.8785;0
36;3;608.0;Soltero;92539.5749;135235.2869;0
48;2;;Soltero;74353.75832000001;77074.01777;0
48;3;526.0;Soltero;63644.400460000004;75135.75055;0
24;1;;Soltero;27393.371239999997;127835.7325;0
12;1;772.0;Soltero;13400.0;50000.0;0
36;5;640.0;Soltero;51922.962230000005;146249.677;0
24;2;;DIVORCIADO;26205.16604;68006.48627000001;0
36;1;;Soltero;38186.64028;53037.00039;0
48;1;675.0;CASADO;77256.15762;820036.0982;0
48;1;478.0;DIVORCIADO;35169.36191;118946.785;0
48;2;596.0;DIVORCIADO;31019.251210000002;116252.3289;0
12;1;268.0;Soltero;13147.92068;104276.6123;0
24;2;148.0;Soltero;16956.28391;66192.97997;0
22;7;845.0;CASADO;126193.8913;528663.3148;0
18;4;782.0;CASADO;106528.6109;159836.1854;0
12;4;670.0;Soltero;25211.72135;164214.277;0
15;1;765.0;DIVORCIADO;27795.86623;126552.9439;0
24;6;644.0;Soltero;41722.4403;265185.0019;0
33;1;670.0;Soltero;13629.319119999998;80060.33606;0
16;1;864.0;CASADO;63537.49839;68530.4297;0
31;1;524.0;Soltero;28592.60352;55639.6609;0
12;1;843.0;Soltero;88502.15492;120417.755;0
48;8;;CASADO;268731.8344;92732.76817000001;0
25;1;;Soltero;33549.0972;90131.90293;0
32;1;409.0;CASADO;109557.4503;112499.7515;0
12;1;506.0;CASADO;47695.2157;74353.75832000001;0
28;3;943.0;CASADO;118643.9687;134999.7018;0
38;3;;;36524.49499;182622.4749;0
30;8;675.0;CASADO;136903.5438;366922.2665;0
14;1;723.0;Soltero;4593.904286999999;53936.11145;0
48;4;446.0;CASADO;228934.0214;81141.17215;0
20;3;813.0;DIVORCIADO;66458.48386000001;131854.4047;0
48;1;741.0;CASADO;105341.0605;156640.9822;0
48;1;634.0;DIVORCIADO;133830.031;114913.5008;0
20;3;190.0;Soltero;19814.53853;197232.2729;0
32;6;;CASADO;224346.5116;282864.0021;0
11;2;306.0;Soltero;12267.953459999999;55915.162000000004;0
12;1;560.0;Soltero;4419.750032;59224.650429999994;0
48;1;435.0;DIVORCIADO;35552.02838;120175.8706;0
36;2;;CASADO;195405.3039;223968.0281;0
12;2;273.0;DIVORCIADO;49275.23065;118946.785;0
48;1;620.0;CASADO;31010.957739999998;68913.23942;0
18;1;687.0;Soltero;110336.2948;112499.7515;0
13;1;670.0;Soltero;22306.1275;53407.76055;0
39;2;;Soltero;18230.81815;85022.64965;0
44;3;;CASADO;68771.3105;70716.00051;0
41;2;;CASADO;52420.458139999995;76247.93911;0
36;5;;CASADO;50296.75537;87511.05064;0
26;1;775.0;Soltero;33419.91291;79988.64402;0
36;2;728.0;DIVORCIADO;27068.01838;52039.21844;0
48;1;494.0;CASADO;36599.01077;76247.93911;0
18;1;572.0;DIVORCIADO;46495.770339999995;114913.5008;0
18;1;379.0;CASADO;78162.41927;268762.757;0
12;1;755.0;Soltero;17108.37046;62591.59926;0
24;1;;CASADO;102372.8441;204931.99;0
36;1;628.0;CASADO;17400.0;48000.0;0
30;1;731.0;Soltero;15648.65463;91766.80184;0
48;2;480.0;DIVORCIADO;235181.2232;136966.8562;0
18;1;688.0;Soltero;8048.059146;57980.64116;0
12;1;635.0;Soltero;12728.88009;125520.9009;0
44;1;660.0;Soltero;45271.3396;80109.77789;0
48;12;486.0;CASADO;141906.86800000002;87048.30243;0
48;8;823.0;CASADO;153057.3241;157571.4302;0
36;1;702.0;Soltero;45272.21384;97216.12236000001;0
48;2;447.0;Soltero;109266.011;321370.6206;0
48;11;;CASADO;101620.8372;93984.5893;0
48;1;701.0;Soltero;48721.04623;195576.4911;0
40;2;400.0;DIVORCIADO;107548.0317;276.9224652;0
36;1;664.0;CASADO;131500.0;177000.0;0
48;5;777.0;CASADO;105097.1373;316264.1399;0
48;2;260.0;CASADO;105897.2108;375501.9627;0
36;2;238.0;Soltero;86273.5225;110253.7029;0
34;11;585.0;CASADO;38937.078089999995;71726.19649;0
12;1;889.0;CASADO;41530.29425;138979.3312;0
18;3;;Soltero;241229.9568;464073.7534;0
18;5;;Soltero;161740.9408;185663.7317;0
18;4;565.0;CASADO;84425.45769;164214.277;0
12;1;837.0;DIVORCIADO;9180.101225;90131.90293;0
24;2;911.0;Soltero;88500.0;132000.0;0
24;2;575.0;Soltero;34096.07853;50971.041260000005;0
48;7;;CASADO;32649.66213;115915.9602;0
48;2;743.0;CASADO;45065.63157;88861.80872999999;0
22;1;360.0;CASADO;160327.2596;353730.6301;0
48;8;798.0;CASADO;31228.443219999997;109573.485;0
48;1;906.0;Soltero;62411.106029999995;109545.4637;0
48;8;831.0;Soltero;303013.9267;192943.98;0
12;1;958.0;Soltero;161585.1772;367723.2027;0
37;3;763.0;CASADO;70797.70635;159417.4681;0
24;2;446.0;Soltero;21927.43581;102392.4315;0
16;5;796.0;CASADO;76792.75071000001;155229.1037;0
46;2;534.0;CASADO;39808.25713;4590.050612;0
48;4;730.0;CASADO;213684.8494;173464.0615;0
36;1;784.0;Soltero;113564.7121;226638.9421;0
6;5;621.0;Soltero;54329.508160000005;208304.8423;0
48;3;775.0;Soltero;16182.65656;138461.2326;0
36;1;829.0;Soltero;35074.05199;329772.3366;0
18;1;553.0;Soltero;45065.63157;61659.21422;0
12;1;;CASADO;32971.08102;240576.3917;0
19;3;635.0;Soltero;27758.96955;176986.7186;0
11;2;;Soltero;35931.8413;181088.8554;0
41;1;899.0;CASADO;68183.11546;125183.1985;0
48;1;700.0;Soltero;67296.38202;153402.87900000002;0
8;1;911.0;CASADO;49369.9794;121096.1759;0
16;10;;Soltero;105193.7339;521621.821;0
11;1;679.0;Soltero;31998.99023;113725.472;0
30;4;835.0;Soltero;9594.260158;93984.5893;0
47;1;;Soltero;21154.66274;46366.38409;0
14;1;715.0;Soltero;9611.583393;48964.67011;0
19;1;;Soltero;35211.04191;59724.63395;0
24;1;818.0;Soltero;59057.67347;186301.8091;0
6;1;803.0;Soltero;52451.972;77277.30681000001;0
6;5;679.0;Soltero;23284.36556;236722.5569;0
36;2;829.0;Soltero;7350.2468579999995;183756.1715;0
24;1;;Soltero;49133.281189999994;183943.2324;0
24;2;;CASADO;44526.13236;263798.7041;0
24;1;772.0;Soltero;51679.19893;79788.81928;0
48;1;625.0;Soltero;39731.7382;76212.17757999999;0
18;1;;Soltero;135400.0;375000.0;0
17;1;774.0;Soltero;32019.16004;86538.27038999999;0
24;5;921.0;DIVORCIADO;68350.02639;130190.5265;0
48;5;;CASADO;74707.02543;232877.2613;0
48;1;877.0;CASADO;70450.81551;90162.90065;0
48;6;535.0;CASADO;65163.3176;216345.676;0
48;3;839.0;CASADO;69300.0;87000.0;0
15;1;657.0;Soltero;24654.03412;95876.79934;0
36;1;598.0;CASADO;79750.17841000001;99228.33258999999;0
12;1;879.0;Soltero;43501.47241;72657.70552999999;0
12;4;852.0;CASADO;286997.9369;419179.0704;0
48;2;843.0;Soltero;21807.64414;83076.73957;0
24;1;565.0;Soltero;200246.1501;228743.8173;0
48;1;715.0;Soltero;32128.75126;52321.630560000005;0
