;aroma;number_of_bags;total_cup_points;country_of_origin;farm_name
120;7.75;50;84.75;Thailand;matsuzawa coffee
121;7.92;150;84.75;Kenya;karatina
122;7.83;275;84.75;Honduras;cerro bueno
123;7.75;250;84.75;El Salvador;several
124;7.83;2;84.75;Nicaragua;santa martha
125;7.83;150;84.67;El Salvador;monterrey
