ID, DESCRIPCION, MARCA, PRECIO REG, PRECIO PROMO, DESC PROMO, PRECIO/LT, TIPO PRODUCTO
53,Cerveza roja Schneider 473 cc.,Schneider,,Null,Null,($165,96 x 1 L.),Cerveza roja
54,Cerveza roja amber lager Imperial 1 l.,Imperial,,Null,Null,($182,75 x 1 L.),Cerveza roja
55,Cerveza rubia Andes Origen 6 x 473 cc.,Andes,,Null,Null,($193,80 x 1 L.),Cerveza rubia
56,Cerveza rubia Ipa Imperial 473 cc.,Imperial,,Null,Null,($287,53 x 1 L.),Cerveza rubia
57,Cerveza rubia Peñón del Águila mexican lager 473 cc.,Peñon del Águila,,Null,Null,($331,92 x 1 L.),Cerveza rubia
58,Cerveza rubia 1890 1 l.,1890,,Null,Null,($134,20 x 1 L.),Cerveza rubia
59,Cerveza negra Peñón del Águila 473 cc.,Peñon del Águila,,Null,Null,($331,92 x 1 L.),Cerveza negra
60,Cerveza de trigo Mecklenburger weibbier 500 cc.,Mecklenburger,,Null,Null,($194,00 x 1 L.),Cerveza rubia
61,Cerveza rubia Patagonia bohemian 730 cc.,Patagonia,,Null,Null,($314,38 x 1 L.),Cerveza rubia
62,Cerveza rubia Patagonia IPA 6 x 473 cc.,Patagonia,,Null,Null,($308,32 x 1 L.),Cerveza rubia
63,Cerveza roja Andes Origen 6 x 473 cc.,Andes,,Null,Null,($221,99 x 1 L.),Cerveza roja
64,Cerveza roja amber lager Imperial 473 cc. ,Imperial,,Null,Null,($245,24 x 1 L.),Cerveza roja
65,Cerveza rubia Schneider 710 cc.,Schneider,,Null,Null,($158,45 x 1 L.),Cerveza rubia
66,Cerveza rubia Iguana 970 cc.,Iguana,,Null,Null,($194,43 x 1 L.),Cerveza rubia
67,Cerveza rubia Andes Origen 1 l.,Andes,$176,00,$140,80,Por unidad Llevando 2 ,($176,00 x 1 L.),Cerveza rubia
68,Cerveza rubia ipa Imperial 1 l.,Imperial,,Null,Null,($195,10 x 1 L.),Cerveza rubia
69,Cerveza rubia Heineken Retornable 1 l.,Heineken,,Null,Null,($199,50 x 1 L.),Cerveza rubia
70,Cerveza rubia Heineken 330 cc.,Heineken,,Null,Null,($303,94 x 1 L.),Cerveza rubia
71,Cerveza rubia Schneider 1 l.,Schneider,,Null,Null,($118,00 x 1 L.),Cerveza rubia
72,Cerveza rubia Iguana 1 l.,Iguana,,Null,Null,($115,00 x 1 L.),Cerveza rubia
73,Cerveza blanca pilsen Amstel botella 1 l.,Amstel,,Null,Null,($162,00 x 1 L.),Cerveza rubia
74,Cerveza rubia lager Imperial 1 l.,Imperial,,Null,Null,($156,00 x 1 L.),Cerveza rubia
75,Cerveza rubia Miller 473 cc.,Miller,,Null,Null,($224,10 x 1 L.),Cerveza rubia
76,Cerveza rubia Schneider 473 cc.,Schneider,,Null,Null,($164,90 x 1 L.),Cerveza rubia
77,Cerveza rubia Heineken 473 cc.,Heineken,,Null,Null,($269,56 x 1 L.),Cerveza rubia
78,Cerveza rubia Sol 473 cc.,Sol,,Null,Null,($248,84 x 1 L.),Cerveza rubia
79,Cerveza rubia Imperial 473 cc.,Imperial,,Null,Null,($210,36 x 1 L.),Cerveza rubia
80,Cerveza rubia Andes IPA 6 X 473 cc.,Andes,,Null,Null,($221,99 x 1 L.),Cerveza rubia
81,Cerveza rubia 1890 6 x 473 cc.,1890,,Null,Null,($144,47 x 1 L.),Cerveza rubia
82,Cerveza rubia Stella Artois 330 cc.,Stella Artois,,Null,Null,($323,64 x 1 L.),Cerveza rubia
83,Cerveza roja Quilmes red lager 1 l.,Quilmes,,Null,Null,($131,00 x 1 L.),Cerveza roja
84,Cerveza rubia Isenbeck retornable 1 l.,Isenbeck,,Null,Null,($102,00 x 1 L.),Cerveza rubia
85,Cerveza rubia Quilmes clásica 340 cc.,Quilmes,,Null,Null,($117,65 x 1 L.),Cerveza rubia
86,Cerveza rubia bajo cero Quilmes 1 l.,Quilmes,,Null,Null,($97,40 x 1 L.),Cerveza rubia
87,Cerveza rubia Andes IPA retornable 1 l.,Andes,$201,50,$161,20,Por unidad Llevando 2 ,($201,50 x 1 L.),Cerveza rubia
88,Cerveza rubia Patagonia kune 6 u. x 473 cc.,Patagonia,,Null,Null,($308,32 x 1 L.),Cerveza rubia
89,Cerveza rubia Blue Moon 355 cc.,Blue Moon,,Null,Null,($514,08 x 1 L.),Cerveza rubia
90,Cerveza rubia Warsteiner retornable 1 l.,Warsteiner,,Null,Null,($157,00 x 1 L.),Cerveza rubia
91,Cerveza Imperial amber lager 710 cc.,Imperial,,Null,Null,($228,45 x 1 L.),Cerveza rubia
92,Cerveza Rabieta Helles Munich lata 473 cc.,Rabieta,,Null,Null,($332,98 x 1 L.),Cerveza rubia
93,Cerveza Rabieta Helles Munich botella 710 cc.,Rabieta,,Null,Null,($285,07 x 1 L.),Cerveza rubia
94,Cerveza Chachingo amber lata 473 cc.,Chachingo,,Null,Null,($432,14 x 1 L.),Cerveza amber ale
95,Cerveza apa Rabieta botella 710 cc.,Rabieta,,Null,Null,($315,21 x 1 L.),Cerveza apa
96,Cerveza golden ale Pampa brewing lata 473 cc.,Pampa,,Null,Null,($321,78 x 1 L.),Cerveza golden ale
97,Cerveza pale ale Chachingo lata 473 cc.,Chachingo,,Null,Null,($432,14 x 1 L.),Cerveza pale ale
98,Vaso cerveza pinta granel,Rigolleau,,Null,Null,($169,00 x 1 U.),Trago Largo
99,Vaso cerveza bruselas 560 cc,Rigolleau,,Null,Null,($169,00 x 1 U.),Trago Largo
100,Vaso cerveza amsterdam 325 cc.,Rigolleau,,Null,Null,($119,00 x 1 U.),Vaso
101,Chopp de cerveza holandes 350 cc.,Rigolleau,,Null,Null,($209,00 x 1 U.),Chopp
102,Chopp de cerveza holandes 350 cc.,Rigolleau,,Null,Null,($209,00 x 1 U.),Chopp
103,Chopp de cerveza holandes 350 cc.,Rigolleau,,Null,Null,($209,00 x 1 U.),Chopp
104,Chopp de cerveza holandes 350 cc.,Rigolleau,,Null,Null,($209,00 x 1 U.),Chopp
105,Chopp de cerveza holandes 350 cc.,Rigolleau,,Null,Null,($209,00 x 1 U.),Chopp
106,Chopp de cerveza holandes 350 cc.,Rigolleau,,Null,Null,($209,00 x 1 U.),Chopp
